--- 分析日志 for: VAH11_new.csv ---
--- 协议: 20% power reduction ---

清洗后发现 15823 个有效片段。

片段 #     | 起始时间(s)         | 持续(s)      | 状态标签                                | 依据 (I, V, P)
--------------------------------------------------------------------------------------------------------------
1        | 0.00            | 5118.25    | 其他充电阶段                              | I= 1501.7mA, V=3.90V, P=  5.85W
2        | 5128.25         | 1993.09    | 恒压充电 (CV Charge)                    | I=  423.7mA, V=4.20V, P=  1.78W
3        | 7131.34         | 880.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
4        | 8021.39         | 3599.95    | RPT: C/5 容量测试放电                     | I= -598.3mA, V=4.07V, P= -2.43W
5        | 11621.34        | 30.00      | RPT: IR测量前静置                        | I=  -66.4mA, V=4.02V, P= -0.27W
6        | 11651.34        | 7200.00    | RPT: C/5 容量测试放电                     | I= -598.8mA, V=3.81V, P= -2.28W
7        | 18851.34        | 30.00      | RPT: IR测量前静置                        | I=  -67.1mA, V=3.64V, P= -0.24W
8        | 18881.34        | 7530.23    | RPT: C/5 容量测试放电                     | I= -598.8mA, V=3.30V, P= -1.97W

>>> RPT数据点记录: Capacity = 3049.51 mAh, Cycle Number = 1 <<<

9        | 26421.57        | 890.00     | 静置 (Rest)                           | I=    0.0mA, V=2.75V, P=  0.00W
10       | 27341.57        | 3055.85    | 恒流充电 (CC Charge)                    | I= 3001.9mA, V=3.80V, P= 11.41W
11       | 30427.42        | 1946.65    | 恒压充电 (CV Charge)                    | I=  917.5mA, V=4.20V, P=  3.85W
12       | 32404.07        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
13       | 33274.12        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-11260.2mA, V=3.82V, P=-42.94W
14       | 33349.07        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3334.8mA, V=3.89V, P=-12.95W
15       | 34149.07        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12054.1mA, V=3.50V, P=-42.10W
16       | 34284.07        | 507.06     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
17       | 34821.13        | 1011.35    | 恒流充电 (CC Charge)                    | I= 3001.7mA, V=4.05V, P= 12.16W
18       | 35862.48        | 1682.66    | 恒压充电 (CV Charge)                    | I=  951.5mA, V=4.20V, P=  4.00W
19       | 37575.14        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
20       | 38445.19        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-11252.4mA, V=3.82V, P=-42.95W
21       | 38520.14        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3333.1mA, V=3.89V, P=-12.95W
22       | 39320.14        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12054.0mA, V=3.50V, P=-42.10W
23       | 39455.14        | 568.48     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
24       | 40053.62        | 1018.18    | 恒流充电 (CC Charge)                    | I= 3002.2mA, V=4.05V, P= 12.16W
25       | 41101.80        | 1639.58    | 恒压充电 (CV Charge)                    | I=  968.7mA, V=4.20V, P=  4.07W
26       | 42771.38        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
27       | 43641.44        | 74.94      | 任务剖面: 起飞 (Take-off)                 | I=-11245.2mA, V=3.82V, P=-42.96W
28       | 43716.38        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3334.0mA, V=3.89V, P=-12.96W
29       | 44516.38        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12052.2mA, V=3.50V, P=-42.10W
30       | 44651.38        | 591.13     | 静置 (Rest)                           | I=    0.0mA, V=3.80V, P=  0.00W
31       | 45272.51        | 1020.54    | 恒流充电 (CC Charge)                    | I= 3002.6mA, V=4.05V, P= 12.17W
32       | 46323.05        | 1633.86    | 恒压充电 (CV Charge)                    | I=  963.2mA, V=4.20V, P=  4.05W
33       | 47986.91        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
34       | 48856.96        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-11242.7mA, V=3.82V, P=-42.96W
35       | 48931.92        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3333.9mA, V=3.89V, P=-12.96W
36       | 49731.91        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12053.4mA, V=3.50V, P=-42.11W
37       | 49866.91        | 608.19     | 静置 (Rest)                           | I=    0.0mA, V=3.80V, P=  0.00W
38       | 50505.11        | 1021.76    | 恒流充电 (CC Charge)                    | I= 3002.2mA, V=4.05V, P= 12.17W
39       | 51556.86        | 1631.59    | 恒压充电 (CV Charge)                    | I=  960.4mA, V=4.20V, P=  4.03W
40       | 53218.45        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
41       | 54088.51        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-11239.9mA, V=3.82V, P=-42.96W
42       | 54163.45        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3333.0mA, V=3.89V, P=-12.96W
43       | 54963.45        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12056.2mA, V=3.50V, P=-42.11W
44       | 55098.45        | 560.24     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
45       | 55688.69        | 1024.80    | 恒流充电 (CC Charge)                    | I= 3001.5mA, V=4.05V, P= 12.16W
46       | 56743.49        | 1626.30    | 恒压充电 (CV Charge)                    | I=  955.0mA, V=4.20V, P=  4.01W
47       | 58399.79        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
48       | 59269.84        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-11239.8mA, V=3.82V, P=-42.96W
49       | 59344.79        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3332.5mA, V=3.89V, P=-12.96W
50       | 60144.79        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12057.8mA, V=3.50V, P=-42.10W
51       | 60279.79        | 575.48     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
52       | 60885.26        | 1025.91    | 恒流充电 (CC Charge)                    | I= 3001.0mA, V=4.05V, P= 12.16W
53       | 61941.17        | 1625.49    | 恒压充电 (CV Charge)                    | I=  952.8mA, V=4.20V, P=  4.00W
54       | 63596.67        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
55       | 64466.72        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-11238.2mA, V=3.82V, P=-42.95W
56       | 64541.67        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3332.1mA, V=3.89V, P=-12.95W
57       | 65341.67        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12059.2mA, V=3.50V, P=-42.10W
58       | 65476.66        | 617.01     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
59       | 66123.67        | 1026.14    | 恒流充电 (CC Charge)                    | I= 3001.6mA, V=4.05V, P= 12.16W
60       | 67179.81        | 1616.60    | 恒压充电 (CV Charge)                    | I=  966.7mA, V=4.20V, P=  4.06W
61       | 68826.41        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
62       | 69696.46        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-11236.2mA, V=3.83V, P=-42.96W
63       | 69771.41        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3332.6mA, V=3.89V, P=-12.96W
64       | 70571.41        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12061.7mA, V=3.50V, P=-42.11W
65       | 70706.41        | 567.31     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
66       | 71303.72        | 1023.73    | 恒流充电 (CC Charge)                    | I= 3001.8mA, V=4.05V, P= 12.16W
67       | 72357.45        | 1636.20    | 恒压充电 (CV Charge)                    | I=  954.2mA, V=4.20V, P=  4.01W
68       | 74023.65        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
69       | 74893.70        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-11248.1mA, V=3.82V, P=-42.96W
70       | 74968.65        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3333.2mA, V=3.89V, P=-12.95W
71       | 75768.65        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12076.1mA, V=3.49V, P=-42.10W
72       | 75903.64        | 489.42     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
73       | 76423.07        | 1022.29    | 恒流充电 (CC Charge)                    | I= 3001.6mA, V=4.05V, P= 12.16W
74       | 77475.36        | 1652.12    | 恒压充电 (CV Charge)                    | I=  943.7mA, V=4.20V, P=  3.96W
75       | 79157.48        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
76       | 80027.53        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-11249.4mA, V=3.82V, P=-42.96W
77       | 80102.48        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3333.1mA, V=3.89V, P=-12.95W
78       | 80902.48        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12073.6mA, V=3.49V, P=-42.10W
79       | 81037.48        | 499.16     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
80       | 81566.64        | 1028.92    | 恒流充电 (CC Charge)                    | I= 3002.1mA, V=4.05V, P= 12.16W
81       | 82625.56        | 1632.54    | 恒压充电 (CV Charge)                    | I=  948.7mA, V=4.20V, P=  3.98W
82       | 84288.10        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
83       | 85158.16        | 74.94      | 任务剖面: 起飞 (Take-off)                 | I=-11240.8mA, V=3.82V, P=-42.96W
84       | 85233.11        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3333.1mA, V=3.89V, P=-12.96W
85       | 86033.10        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12065.2mA, V=3.50V, P=-42.11W
86       | 86168.10        | 579.57     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
87       | 86777.67        | 1030.77    | 恒流充电 (CC Charge)                    | I= 3002.6mA, V=4.05V, P= 12.16W
88       | 87838.44        | 1617.87    | 恒压充电 (CV Charge)                    | I=  960.1mA, V=4.20V, P=  4.03W
89       | 89486.31        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
90       | 90356.37        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-11235.8mA, V=3.83V, P=-42.96W
91       | 90431.31        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3332.5mA, V=3.89V, P=-12.96W
92       | 91231.31        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12061.0mA, V=3.50V, P=-42.11W
93       | 91366.31        | 603.48     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
94       | 91999.79        | 1032.06    | 恒流充电 (CC Charge)                    | I= 3002.2mA, V=4.05V, P= 12.16W
95       | 93061.84        | 1615.58    | 恒压充电 (CV Charge)                    | I=  957.0mA, V=4.20V, P=  4.02W
96       | 94707.43        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
97       | 95577.48        | 74.94      | 任务剖面: 起飞 (Take-off)                 | I=-11230.0mA, V=3.83V, P=-42.96W
98       | 95652.43        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3332.3mA, V=3.89V, P=-12.96W
99       | 96452.43        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12059.5mA, V=3.50V, P=-42.11W
100      | 96587.42        | 636.91     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
101      | 97254.34        | 1031.39    | 恒流充电 (CC Charge)                    | I= 3001.1mA, V=4.05V, P= 12.16W
102      | 98315.73        | 1630.42    | 恒压充电 (CV Charge)                    | I=  942.3mA, V=4.20V, P=  3.96W
103      | 99976.15        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
104      | 100846.21       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-11231.0mA, V=3.83V, P=-42.96W
105      | 100921.16       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3331.6mA, V=3.89V, P=-12.96W
106      | 101721.15       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12056.8mA, V=3.50V, P=-42.11W
107      | 101856.15       | 632.75     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
108      | 102518.91       | 1032.81    | 恒流充电 (CC Charge)                    | I= 3000.7mA, V=4.05V, P= 12.15W
109      | 103581.72       | 1626.99    | 恒压充电 (CV Charge)                    | I=  939.2mA, V=4.20V, P=  3.94W
110      | 105238.71       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
111      | 106108.76       | 74.94      | 任务剖面: 起飞 (Take-off)                 | I=-11228.9mA, V=3.83V, P=-42.96W
112      | 106183.71       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3330.8mA, V=3.89V, P=-12.95W
113      | 106983.71       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12056.4mA, V=3.50V, P=-42.11W
114      | 107118.71       | 652.57     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
115      | 107801.28       | 1031.94    | 恒流充电 (CC Charge)                    | I= 3001.4mA, V=4.05V, P= 12.16W
116      | 108863.22       | 1634.10    | 恒压充电 (CV Charge)                    | I=  938.0mA, V=4.20V, P=  3.94W
117      | 110527.32       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
118      | 111397.37       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-11229.5mA, V=3.83V, P=-42.96W
119      | 111472.32       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3330.3mA, V=3.89V, P=-12.95W
120      | 112272.32       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12058.0mA, V=3.50V, P=-42.10W
121      | 112407.31       | 652.26     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
122      | 113089.58       | 1030.41    | 恒流充电 (CC Charge)                    | I= 3001.5mA, V=4.05V, P= 12.16W
123      | 114149.99       | 1632.32    | 恒压充电 (CV Charge)                    | I=  940.0mA, V=4.20V, P=  3.95W
124      | 115812.30       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
125      | 116682.36       | 74.94      | 任务剖面: 起飞 (Take-off)                 | I=-11240.6mA, V=3.82V, P=-42.96W
126      | 116757.31       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3331.8mA, V=3.89V, P=-12.95W
127      | 117557.30       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12073.8mA, V=3.49V, P=-42.10W
128      | 117692.30       | 558.98     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
129      | 118281.28       | 1027.57    | 恒流充电 (CC Charge)                    | I= 3002.0mA, V=4.05V, P= 12.16W
130      | 119338.85       | 1652.51    | 恒压充电 (CV Charge)                    | I=  932.2mA, V=4.20V, P=  3.92W
131      | 121021.36       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
132      | 121891.42       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-11253.8mA, V=3.82V, P=-42.96W
133      | 121966.37       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3335.3mA, V=3.89V, P=-12.96W
134      | 122766.36       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12089.4mA, V=3.49V, P=-42.10W
135      | 122901.36       | 472.59     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
136      | 123403.95       | 1027.32    | 恒流充电 (CC Charge)                    | I= 3002.7mA, V=4.05V, P= 12.16W
137      | 124461.27       | 1666.55    | 恒压充电 (CV Charge)                    | I=  936.1mA, V=4.20V, P=  3.93W
138      | 126157.82       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
139      | 127027.87       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-11250.2mA, V=3.82V, P=-42.96W
140      | 127102.82       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3335.2mA, V=3.89V, P=-12.96W
141      | 127902.82       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12083.5mA, V=3.49V, P=-42.11W
142      | 128037.82       | 493.86     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
143      | 128561.68       | 1032.46    | 恒流充电 (CC Charge)                    | I= 3002.0mA, V=4.05V, P= 12.15W
144      | 129624.14       | 1645.33    | 恒压充电 (CV Charge)                    | I=  943.0mA, V=4.20V, P=  3.96W
145      | 131299.47       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
146      | 132169.53       | 74.94      | 任务剖面: 起飞 (Take-off)                 | I=-11241.9mA, V=3.82V, P=-42.96W
147      | 132244.48       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3333.6mA, V=3.89V, P=-12.96W
148      | 133044.47       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12076.8mA, V=3.49V, P=-42.11W
149      | 133179.47       | 537.36     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
150      | 133746.83       | 1033.31    | 恒流充电 (CC Charge)                    | I= 3001.4mA, V=4.05V, P= 12.15W
151      | 134810.14       | 1641.17    | 恒压充电 (CV Charge)                    | I=  939.7mA, V=4.20V, P=  3.95W
152      | 136481.31       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
153      | 137351.36       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-11239.6mA, V=3.82V, P=-42.96W
154      | 137426.31       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3332.6mA, V=3.89V, P=-12.96W
155      | 138226.31       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12073.6mA, V=3.50V, P=-42.11W
156      | 138361.31       | 571.52     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
157      | 138962.82       | 1034.29    | 恒流充电 (CC Charge)                    | I= 3000.8mA, V=4.05V, P= 12.15W
158      | 140027.12       | 1647.60    | 恒压充电 (CV Charge)                    | I=  937.3mA, V=4.20V, P=  3.94W
159      | 141704.72       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
160      | 142574.77       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-11238.3mA, V=3.82V, P=-42.96W
161      | 142649.72       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3332.4mA, V=3.89V, P=-12.95W
162      | 143449.72       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12071.3mA, V=3.50V, P=-42.10W
163      | 143584.72       | 597.80     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
164      | 144212.52       | 1033.38    | 恒流充电 (CC Charge)                    | I= 3001.2mA, V=4.05V, P= 12.15W
165      | 145275.90       | 1649.79    | 恒压充电 (CV Charge)                    | I=  937.1mA, V=4.20V, P=  3.94W
166      | 146955.69       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
167      | 147825.75       | 74.94      | 任务剖面: 起飞 (Take-off)                 | I=-11240.0mA, V=3.82V, P=-42.96W
168      | 147900.69       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3333.5mA, V=3.89V, P=-12.96W
169      | 148700.69       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12076.1mA, V=3.49V, P=-42.11W
170      | 148835.69       | 597.97     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
171      | 149463.66       | 1033.67    | 恒流充电 (CC Charge)                    | I= 3001.6mA, V=4.05V, P= 12.15W
172      | 150527.33       | 1645.85    | 恒压充电 (CV Charge)                    | I=  937.0mA, V=4.20V, P=  3.94W
173      | 152203.18       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
174      | 153073.24       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-11240.7mA, V=3.82V, P=-42.96W
175      | 153148.19       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3332.3mA, V=3.89V, P=-12.95W
176      | 153948.18       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12074.6mA, V=3.49V, P=-42.10W
177      | 154083.18       | 555.21     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
178      | 154668.39       | 1035.35    | 恒流充电 (CC Charge)                    | I= 3001.4mA, V=4.05V, P= 12.15W
179      | 155733.74       | 1643.33    | 恒压充电 (CV Charge)                    | I=  935.0mA, V=4.20V, P=  3.93W
180      | 157407.07       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
181      | 158277.12       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-11241.5mA, V=3.82V, P=-42.96W
182      | 158352.07       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3332.3mA, V=3.89V, P=-12.95W
183      | 159152.07       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12079.2mA, V=3.49V, P=-42.10W
184      | 159287.07       | 541.30     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
185      | 159858.37       | 1030.51    | 恒流充电 (CC Charge)                    | I= 3002.0mA, V=4.05V, P= 12.15W
186      | 160918.87       | 1666.69    | 恒压充电 (CV Charge)                    | I=  926.7mA, V=4.20V, P=  3.89W
187      | 162615.57       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
188      | 163485.62       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-11255.4mA, V=3.82V, P=-42.96W
189      | 163560.57       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3335.7mA, V=3.89V, P=-12.96W
190      | 164360.57       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12095.3mA, V=3.49V, P=-42.10W
191      | 164495.57       | 453.23     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
192      | 164978.80       | 1028.43    | 恒流充电 (CC Charge)                    | I= 3002.5mA, V=4.05V, P= 12.15W
193      | 166037.23       | 1682.84    | 恒压充电 (CV Charge)                    | I=  918.2mA, V=4.20V, P=  3.86W
194      | 167750.08       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
195      | 168620.13       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-11262.3mA, V=3.82V, P=-42.96W
196      | 168695.08       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3336.7mA, V=3.89V, P=-12.96W
197      | 169495.08       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12103.6mA, V=3.49V, P=-42.11W
198      | 169630.07       | 442.76     | 静置 (Rest)                           | I=    0.0mA, V=3.78V, P=  0.00W
199      | 170102.84       | 1032.37    | 恒流充电 (CC Charge)                    | I= 3002.4mA, V=4.05V, P= 12.15W
200      | 171165.21       | 1673.29    | 恒压充电 (CV Charge)                    | I=  929.7mA, V=4.20V, P=  3.90W
201      | 172868.50       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
202      | 173738.55       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-11251.8mA, V=3.82V, P=-42.96W
203      | 173813.50       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3335.6mA, V=3.89V, P=-12.96W
204      | 174613.50       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12090.4mA, V=3.49V, P=-42.11W
205      | 174748.50       | 515.06     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
206      | 175293.56       | 1035.18    | 恒流充电 (CC Charge)                    | I= 3001.3mA, V=4.05V, P= 12.15W
207      | 176358.73       | 1666.55    | 恒压充电 (CV Charge)                    | I=  922.9mA, V=4.20V, P=  3.88W
208      | 178055.29       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
209      | 178925.34       | 74.94      | 任务剖面: 起飞 (Take-off)                 | I=-11246.0mA, V=3.82V, P=-42.96W
210      | 179000.29       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3334.2mA, V=3.89V, P=-12.96W
211      | 179800.29       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12081.1mA, V=3.49V, P=-42.11W
212      | 179935.28       | 568.47     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
213      | 180533.76       | 1037.15    | 恒流充电 (CC Charge)                    | I= 3000.5mA, V=4.05V, P= 12.14W
214      | 181600.90       | 1658.29    | 恒压充电 (CV Charge)                    | I=  918.8mA, V=4.20V, P=  3.86W
215      | 183289.19       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
216      | 184159.24       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-11241.0mA, V=3.82V, P=-42.96W
217      | 184234.19       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3332.8mA, V=3.89V, P=-12.95W
218      | 185034.19       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12077.2mA, V=3.49V, P=-42.11W
219      | 185169.19       | 585.44     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
220      | 185784.63       | 1037.82    | 恒流充电 (CC Charge)                    | I= 3001.2mA, V=4.05V, P= 12.15W
221      | 186852.45       | 1653.05    | 恒压充电 (CV Charge)                    | I=  915.1mA, V=4.20V, P=  3.84W
222      | 188535.50       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
223      | 189405.55       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-11240.0mA, V=3.82V, P=-42.96W
224      | 189480.50       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3332.3mA, V=3.89V, P=-12.95W
225      | 190280.50       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12079.2mA, V=3.49V, P=-42.10W
226      | 190415.50       | 586.43     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
227      | 191031.92       | 1033.53    | 恒流充电 (CC Charge)                    | I= 3001.7mA, V=4.05V, P= 12.15W
228      | 192095.46       | 1666.72    | 恒压充电 (CV Charge)                    | I=  920.1mA, V=4.20V, P=  3.86W
229      | 193792.17       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
230      | 194662.23       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-11248.0mA, V=3.82V, P=-42.96W
231      | 194737.18       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3333.2mA, V=3.89V, P=-12.95W
232      | 195537.18       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12085.8mA, V=3.49V, P=-42.10W
233      | 195672.17       | 529.80     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
234      | 196231.97       | 1036.19    | 恒流充电 (CC Charge)                    | I= 3002.2mA, V=4.05V, P= 12.15W
235      | 197298.16       | 1656.35    | 恒压充电 (CV Charge)                    | I=  919.1mA, V=4.20V, P=  3.86W
236      | 198984.51       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
237      | 199854.56       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-11248.5mA, V=3.82V, P=-42.97W
238      | 199929.51       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3334.7mA, V=3.89V, P=-12.96W
239      | 200729.51       | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12085.1mA, V=3.49V, P=-42.10W
